,Unnamed: 0,DATE,NAME,PRCP,SNOW,SNWD,TMAX,TMIN,TAVG,AWND,State Name,county Name,State Code,County Code,AQI,Category
0,0,2024-01-01,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",8,0,0,72,28,46.0,36.0,Maryland,Anne Arundel,24,3,8,Good
1,1,2024-01-07,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0,0,0,106,17,61.0,29.0,Maryland,Anne Arundel,24,3,3,Good
2,2,2024-01-13,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",20,0,0,133,11,20.0,51.0,Maryland,Anne Arundel,24,3,2,Good
4,4,2024-01-25,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",51,0,0,167,67,155.0,19.0,Maryland,Anne Arundel,24,3,21,Good
5,5,2024-01-31,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0,0,0,67,0,42.0,17.0,Maryland,Anne Arundel,24,3,7,Good
6,6,2024-02-06,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0,0,0,72,-21,24.0,9.0,Maryland,Anne Arundel,24,3,9,Good
7,7,2024-02-12,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",25,0,0,94,56,53.0,55.0,Maryland,Anne Arundel,24,3,13,Good
8,8,2024-02-18,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0,0,0,89,-49,36.0,17.0,Maryland,Anne Arundel,24,3,5,Good
10,10,2024-03-01,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",8,0,0,100,-32,79.0,36.0,Maryland,Anne Arundel,24,3,7,Good
11,11,2024-03-07,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",8,0,0,178,94,106.0,34.0,Maryland,Anne Arundel,24,3,3,Good
12,12,2024-03-13,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0,0,0,233,44,163.0,21.0,Maryland,Anne Arundel,24,3,13,Good
13,13,2024-03-19,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0,0,0,111,0,107.0,62.0,Maryland,Anne Arundel,24,3,5,Good
14,14,2024-03-25,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0,0,0,117,-5,72.0,28.0,Maryland,Anne Arundel,24,3,7,Good
15,15,2024-03-31,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0,0,0,206,61,111.0,30.0,Maryland,Anne Arundel,24,3,7,Good
16,16,2024-04-01,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",180,0,0,122,100,98.0,50.0,Maryland,Anne Arundel,24,3,35,Good
17,17,2024-04-02,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",239,0,0,100,83,88.0,56.0,Maryland,Anne Arundel,24,3,36,Good
18,18,2024-04-03,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",307,0,0,100,67,71.0,28.0,Maryland,Anne Arundel,24,3,36,Good
19,19,2024-04-04,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",5,0,0,122,17,73.0,56.0,Maryland,Anne Arundel,24,3,31,Good
20,20,2024-04-05,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0,0,0,122,28,79.0,53.0,Maryland,Anne Arundel,24,3,34,Good
21,21,2024-04-06,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0,0,0,133,28,113.0,29.0,Maryland,Anne Arundel,24,3,36,Good
22,22,2024-04-07,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0,0,0,183,44,121.0,18.0,Maryland,Anne Arundel,24,3,41,Good
23,23,2024-04-08,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0,0,0,217,22,154.0,13.0,Maryland,Anne Arundel,24,3,40,Good
24,24,2024-04-09,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0,0,0,250,67,189.0,18.0,Maryland,Anne Arundel,24,3,48,Good
25,25,2024-04-10,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0,0,0,250,139,191.0,45.0,Maryland,Anne Arundel,24,3,45,Good
26,26,2024-04-11,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",5,0,0,228,161,177.0,71.0,Maryland,Anne Arundel,24,3,35,Good
27,27,2024-04-12,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",51,0,0,200,133,151.0,74.0,Maryland,Anne Arundel,24,3,42,Good
28,28,2024-04-13,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0,0,0,189,89,161.0,38.0,Maryland,Anne Arundel,24,3,44,Good
29,29,2024-04-14,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0,0,0,278,44,233.0,29.0,Maryland,Anne Arundel,24,3,47,Good
30,30,2024-04-16,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0,0,0,250,100,172.0,29.0,Maryland,Anne Arundel,24,3,46,Good
31,31,2024-04-17,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",8,0,0,211,133,163.0,35.0,Maryland,Anne Arundel,24,3,38,Good
32,32,2024-04-18,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0,0,0,206,117,114.0,28.0,Maryland,Anne Arundel,24,3,32,Good
33,33,2024-04-19,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",3,0,0,128,94,154.0,34.0,Maryland,Anne Arundel,24,3,30,Good
34,34,2024-04-20,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",10,0,0,228,111,112.0,25.0,Maryland,Anne Arundel,24,3,46,Good
35,35,2024-04-21,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0,0,0,122,56,101.0,22.0,Maryland,Anne Arundel,24,3,34,Good
36,36,2024-04-22,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0,0,0,183,17,128.0,24.0,Maryland,Anne Arundel,24,3,44,Good
37,37,2024-04-23,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0,0,0,222,33,174.0,39.0,Maryland,Anne Arundel,24,3,46,Good
38,38,2024-04-24,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0,0,0,239,106,134.0,37.0,Maryland,Anne Arundel,24,3,45,Good
39,39,2024-04-25,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0,0,0,156,72,114.0,32.0,Maryland,Anne Arundel,24,3,33,Good
40,40,2024-04-26,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0,0,0,183,39,121.0,21.0,Maryland,Anne Arundel,24,3,35,Good
41,41,2024-04-27,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",5,0,0,144,106,184.0,15.0,Maryland,Anne Arundel,24,3,31,Good
42,42,2024-04-29,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0,0,0,333,161,248.0,37.0,Maryland,Anne Arundel,24,3,61,Moderate
43,43,2024-04-30,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",46,0,0,311,178,227.0,23.0,Maryland,Anne Arundel,24,3,58,Moderate
44,44,2024-05-01,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0,0,0,283,161,236.0,26.0,Maryland,Anne Arundel,24,3,50,Good
45,45,2024-05-02,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0,0,0,322,133,208.0,59.0,Maryland,Anne Arundel,24,3,67,Moderate
46,46,2024-05-03,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0,0,0,222,117,116.0,43.0,Maryland,Anne Arundel,24,3,36,Good
47,47,2024-05-04,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",94,0,0,122,106,138.0,25.0,Maryland,Anne Arundel,24,3,24,Good
48,48,2024-05-05,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",188,0,0,194,111,191.0,6.0,Maryland,Anne Arundel,24,3,22,Good
49,49,2024-05-06,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0,0,0,228,172,210.0,11.0,Maryland,Anne Arundel,24,3,18,Good
50,50,2024-05-07,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0,0,0,261,178,234.0,33.0,Maryland,Anne Arundel,24,3,33,Good
51,51,2024-05-08,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0,0,0,294,178,200.0,34.0,Maryland,Anne Arundel,24,3,42,Good
52,52,2024-05-09,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",64,0,0,217,144,138.0,54.0,Maryland,Anne Arundel,24,3,41,Good
53,53,2024-05-10,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",25,0,0,144,100,124.0,19.0,Maryland,Anne Arundel,24,3,34,Good
54,54,2024-05-11,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",58,0,0,183,78,125.0,19.0,Maryland,Anne Arundel,24,3,36,Good
55,55,2024-05-12,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",18,0,0,189,83,161.0,25.0,Maryland,Anne Arundel,24,3,30,Good
56,56,2024-05-13,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0,0,0,239,117,167.0,19.0,Maryland,Anne Arundel,24,3,43,Good
57,57,2024-05-14,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",89,0,0,194,122,166.0,34.0,Maryland,Anne Arundel,24,3,30,Good
58,58,2024-05-15,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",13,0,0,189,128,182.0,41.0,Maryland,Anne Arundel,24,3,32,Good
59,59,2024-05-16,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0,0,0,250,117,183.0,25.0,Maryland,Anne Arundel,24,3,38,Good
60,60,2024-05-17,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0,0,0,194,167,167.0,9.0,Maryland,Anne Arundel,24,3,36,Good
61,61,2024-05-18,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",51,0,0,183,150,183.0,13.0,Maryland,Anne Arundel,24,3,31,Good
62,62,2024-05-19,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",3,0,0,244,156,187.0,17.0,Maryland,Anne Arundel,24,3,33,Good
63,63,2024-05-21,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0,0,0,283,128,223.0,20.0,Maryland,Anne Arundel,24,3,42,Good
64,64,2024-05-22,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0,0,0,306,150,238.0,14.0,Maryland,Anne Arundel,24,3,44,Good
65,65,2024-05-23,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0,0,0,289,194,238.0,18.0,Maryland,Anne Arundel,24,3,47,Good
66,66,2024-05-24,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0,0,0,294,183,248.0,22.0,Maryland,Anne Arundel,24,3,93,Moderate
67,67,2024-05-25,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",5,0,0,306,178,242.0,22.0,Maryland,Anne Arundel,24,3,84,Moderate
68,68,2024-05-26,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",3,0,0,311,178,233.0,25.0,Maryland,Anne Arundel,24,3,64,Moderate
69,69,2024-05-27,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",79,0,0,261,178,218.0,41.0,Maryland,Anne Arundel,24,3,31,Good
70,70,2024-05-28,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0,0,0,283,167,197.0,19.0,Maryland,Anne Arundel,24,3,47,Good
71,71,2024-05-29,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",13,0,0,256,133,182.0,36.0,Maryland,Anne Arundel,24,3,42,Good
72,72,2024-05-30,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0,0,0,244,128,189.0,29.0,Maryland,Anne Arundel,24,3,44,Good
73,73,2024-05-31,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0,0,0,250,106,206.0,18.0,Maryland,Anne Arundel,24,3,45,Good
74,74,2024-06-01,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0,0,0,294,122,222.0,26.0,Maryland,Anne Arundel,24,3,61,Moderate
75,75,2024-06-02,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0,0,0,294,144,253.0,21.0,Maryland,Anne Arundel,24,3,50,Good
76,76,2024-06-03,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0,0,0,300,200,252.0,29.0,Maryland,Anne Arundel,24,3,44,Good
77,77,2024-06-04,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0,0,0,322,167,237.0,30.0,Maryland,Anne Arundel,24,3,64,Moderate
78,78,2024-06-05,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",84,0,0,283,217,253.0,29.0,Maryland,Anne Arundel,24,3,33,Good
79,79,2024-06-06,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0,0,0,300,217,254.0,46.0,Maryland,Anne Arundel,24,3,36,Good
80,80,2024-06-07,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0,0,0,306,183,228.0,37.0,Maryland,Anne Arundel,24,3,49,Good
81,81,2024-06-08,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0,0,0,294,150,242.0,47.0,Maryland,Anne Arundel,24,3,45,Good
82,82,2024-06-09,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0,0,0,289,178,224.0,38.0,Maryland,Anne Arundel,24,3,44,Good
83,83,2024-06-10,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0,0,0,283,150,202.0,28.0,Maryland,Anne Arundel,24,3,44,Good
84,84,2024-06-11,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0,0,0,239,144,206.0,22.0,Maryland,Anne Arundel,24,3,35,Good
85,85,2024-06-12,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0,0,0,289,122,240.0,23.0,Maryland,Anne Arundel,24,3,48,Good
86,86,2024-06-13,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",3,0,0,317,172,265.0,20.0,Maryland,Anne Arundel,24,3,49,Good
87,87,2024-06-14,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",20,0,0,350,206,244.0,27.0,Maryland,Anne Arundel,24,3,80,Moderate
88,88,2024-06-15,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0,0,0,300,172,232.0,26.0,Maryland,Anne Arundel,24,3,46,Good
89,89,2024-06-16,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0,0,0,306,150,258.0,27.0,Maryland,Anne Arundel,24,3,49,Good
90,90,2024-06-17,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0,0,0,328,200,269.0,26.0,Maryland,Anne Arundel,24,3,47,Good
91,91,2024-06-18,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0,0,0,333,217,264.0,20.0,Maryland,Anne Arundel,24,3,47,Good
92,92,2024-06-19,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0,0,0,322,206,262.0,18.0,Maryland,Anne Arundel,24,3,46,Good
93,93,2024-06-20,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0,0,0,328,194,277.0,20.0,Maryland,Anne Arundel,24,3,46,Good
94,94,2024-06-21,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0,0,0,361,194,300.0,23.0,Maryland,Anne Arundel,24,3,87,Moderate
95,95,2024-06-23,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0,0,0,367,272,298.0,50.0,Maryland,Anne Arundel,24,3,44,Good
96,96,2024-06-24,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0,0,0,322,217,262.0,26.0,Maryland,Anne Arundel,24,3,46,Good
97,97,2024-06-25,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0,0,0,339,167,297.0,36.0,Maryland,Anne Arundel,24,3,61,Moderate
98,98,2024-06-26,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",23,0,0,372,222,264.0,30.0,Maryland,Anne Arundel,24,3,71,Moderate
99,99,2024-06-27,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0,0,0,328,211,254.0,46.0,Maryland,Anne Arundel,24,3,67,Moderate
100,100,2024-06-28,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0,0,0,289,206,262.0,30.0,Maryland,Anne Arundel,24,3,45,Good
101,101,2024-06-29,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",23,0,0,333,200,285.0,34.0,Maryland,Anne Arundel,24,3,42,Good
102,102,2024-06-30,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",203,0,0,361,239,235.0,40.0,Maryland,Anne Arundel,24,3,44,Good
103,103,2024-07-01,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0,0,0,278,167,238.0,23.0,Maryland,Anne Arundel,24,3,32,Good
104,104,2024-07-02,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0,0,0,306,167,253.0,25.0,Maryland,Anne Arundel,24,3,44,Good
105,105,2024-07-03,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0,0,0,311,200,272.0,20.0,Maryland,Anne Arundel,24,3,44,Good
106,106,2024-07-04,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0,0,0,344,217,294.0,24.0,Maryland,Anne Arundel,24,3,67,Moderate
107,107,2024-07-05,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0,0,0,367,250,318.0,30.0,Maryland,Anne Arundel,24,3,49,Good
108,108,2024-07-07,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0,0,0,361,250,301.0,17.0,Maryland,Anne Arundel,24,3,74,Moderate
109,109,2024-07-08,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0,0,0,367,228,300.0,21.0,Maryland,Anne Arundel,24,3,97,Moderate
110,110,2024-07-09,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",33,0,0,372,250,303.0,36.0,Maryland,Anne Arundel,24,3,47,Good
