,Unnamed: 0,DATE,NAME,PRCP,SNOW,SNWD,TMAX,TMIN,TAVG,AWND,State Name,county Name,State Code,County Code,AQI,Category
111,111,2024-07-10,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",18,0,0,350,256,281.0,31.0,Maryland,Anne Arundel,24,3,33,Good
112,112,2024-07-11,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0,0,0,339,233,257.0,18.0,Maryland,Anne Arundel,24,3,58,Moderate
113,113,2024-07-12,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",15,0,0,278,222,275.0,12.0,Maryland,Anne Arundel,24,3,45,Good
114,114,2024-07-13,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0,0,0,350,233,299.0,21.0,Maryland,Anne Arundel,24,3,71,Moderate
115,115,2024-07-14,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0,0,0,383,239,313.0,24.0,Maryland,Anne Arundel,24,3,67,Moderate
116,116,2024-07-15,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0,0,0,389,244,324.0,36.0,Maryland,Anne Arundel,24,3,84,Moderate
117,117,2024-07-16,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",41,0,0,400,244,301.0,19.0,Maryland,Anne Arundel,24,3,87,Moderate
118,118,2024-07-18,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0,0,0,306,222,258.0,25.0,Maryland,Anne Arundel,24,3,49,Good
119,119,2024-07-19,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0,0,0,311,206,256.0,14.0,Maryland,Anne Arundel,24,3,61,Moderate
120,120,2024-07-20,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",15,0,0,311,217,262.0,17.0,Maryland,Anne Arundel,24,3,42,Good
121,121,2024-07-21,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0,0,0,328,200,257.0,21.0,Maryland,Anne Arundel,24,3,77,Moderate
122,122,2024-07-22,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",102,0,0,278,233,262.0,25.0,Maryland,Anne Arundel,24,3,35,Good
123,123,2024-07-23,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",8,0,0,328,217,268.0,12.0,Maryland,Anne Arundel,24,3,80,Moderate
124,124,2024-07-24,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0,0,0,317,239,268.0,22.0,Maryland,Anne Arundel,24,3,49,Good
125,125,2024-07-25,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0,0,0,317,222,254.0,24.0,Maryland,Anne Arundel,24,3,61,Moderate
126,126,2024-07-26,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0,0,0,311,194,249.0,19.0,Maryland,Anne Arundel,24,3,46,Good
127,127,2024-07-27,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0,0,0,322,172,256.0,19.0,Maryland,Anne Arundel,24,3,44,Good
128,128,2024-07-28,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0,0,0,328,172,274.0,26.0,Maryland,Anne Arundel,24,3,90,Moderate
129,129,2024-07-29,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",119,0,0,344,222,254.0,25.0,Maryland,Anne Arundel,24,3,71,Moderate
130,130,2024-07-30,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",3,0,0,300,228,278.0,25.0,Maryland,Anne Arundel,24,3,36,Good
131,131,2024-07-31,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0,0,0,350,233,293.0,18.0,Maryland,Anne Arundel,24,3,71,Moderate
132,132,2024-08-01,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0,0,0,383,217,314.0,30.0,Maryland,Anne Arundel,24,3,129,Unhealthy for Sensitive Groups
133,133,2024-08-02,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",554,0,0,378,239,273.0,28.0,Maryland,Anne Arundel,24,3,54,Moderate
134,134,2024-08-03,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",201,0,0,350,228,252.0,18.0,Maryland,Anne Arundel,24,3,44,Good
135,135,2024-08-04,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0,0,0,311,228,278.0,15.0,Maryland,Anne Arundel,24,3,39,Good
136,136,2024-08-05,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0,0,0,356,222,297.0,30.0,Maryland,Anne Arundel,24,3,61,Moderate
137,137,2024-08-06,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",36,0,0,350,228,262.0,33.0,Maryland,Anne Arundel,24,3,51,Moderate
138,138,2024-08-07,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",58,0,0,311,228,247.0,55.0,Maryland,Anne Arundel,24,3,29,Good
139,139,2024-08-08,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",201,0,0,267,228,264.0,46.0,Maryland,Anne Arundel,24,3,21,Good
140,140,2024-08-09,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",262,0,0,278,250,271.0,22.0,Maryland,Anne Arundel,24,3,27,Good
141,141,2024-08-10,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0,0,0,322,222,250.0,23.0,Maryland,Anne Arundel,24,3,51,Moderate
142,142,2024-08-11,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0,0,0,289,183,232.0,25.0,Maryland,Anne Arundel,24,3,41,Good
143,143,2024-08-12,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0,0,0,294,178,236.0,18.0,Maryland,Anne Arundel,24,3,44,Good
144,144,2024-08-13,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0,0,0,300,172,241.0,22.0,Maryland,Anne Arundel,24,3,39,Good
145,145,2024-08-14,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0,0,0,300,178,248.0,18.0,Maryland,Anne Arundel,24,3,44,Good
146,146,2024-08-15,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0,0,0,317,172,248.0,19.0,Maryland,Anne Arundel,24,3,43,Good
147,147,2024-08-16,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0,0,0,317,178,247.0,21.0,Maryland,Anne Arundel,24,3,54,Moderate
148,148,2024-08-17,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",97,0,0,278,200,239.0,21.0,Maryland,Anne Arundel,24,3,37,Good
149,149,2024-08-18,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",137,0,0,300,206,241.0,34.0,Maryland,Anne Arundel,24,3,35,Good
150,150,2024-08-19,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0,0,0,300,206,211.0,39.0,Maryland,Anne Arundel,24,3,34,Good
151,151,2024-08-20,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0,0,0,239,144,178.0,30.0,Maryland,Anne Arundel,24,3,35,Good
152,152,2024-08-21,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0,0,0,244,117,189.0,19.0,Maryland,Anne Arundel,24,3,33,Good
153,153,2024-08-22,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0,0,0,261,117,207.0,9.0,Maryland,Anne Arundel,24,3,40,Good
154,154,2024-08-23,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0,0,0,283,128,213.0,15.0,Maryland,Anne Arundel,24,3,74,Moderate
155,155,2024-08-24,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0,0,0,294,133,232.0,18.0,Maryland,Anne Arundel,24,3,77,Moderate
156,156,2024-08-25,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0,0,0,311,161,247.0,16.0,Maryland,Anne Arundel,24,3,67,Moderate
157,157,2024-08-26,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",3,0,0,328,194,251.0,14.0,Maryland,Anne Arundel,24,3,61,Moderate
158,158,2024-08-27,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0,0,0,333,183,286.0,26.0,Maryland,Anne Arundel,24,3,93,Moderate
159,159,2024-08-28,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0,0,0,361,222,277.0,38.0,Maryland,Anne Arundel,24,3,84,Moderate
160,160,2024-08-29,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",30,0,0,317,211,222.0,38.0,Maryland,Anne Arundel,24,3,42,Good
161,161,2024-08-30,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0,0,0,239,206,239.0,15.0,Maryland,Anne Arundel,24,3,20,Good
162,162,2024-08-31,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",3,0,0,278,217,249.0,22.0,Maryland,Anne Arundel,24,3,31,Good
163,163,2024-09-01,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0,0,0,317,206,244.0,36.0,Maryland,Anne Arundel,24,3,39,Good
164,164,2024-09-02,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0,0,0,272,178,197.0,31.0,Maryland,Anne Arundel,24,3,36,Good
165,165,2024-09-03,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0,0,0,250,128,183.0,21.0,Maryland,Anne Arundel,24,3,44,Good
166,166,2024-09-04,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0,0,0,256,111,196.0,19.0,Maryland,Anne Arundel,24,3,47,Good
167,167,2024-09-06,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0,0,0,267,144,201.0,22.0,Maryland,Anne Arundel,24,3,40,Good
168,168,2024-09-07,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",3,0,0,250,117,159.0,27.0,Maryland,Anne Arundel,24,3,25,Good
169,169,2024-09-08,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0,0,0,233,78,175.0,21.0,Maryland,Anne Arundel,24,3,37,Good
170,170,2024-09-10,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0,0,0,306,117,217.0,21.0,Maryland,Anne Arundel,24,3,51,Moderate
171,171,2024-09-11,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0,0,0,294,133,221.0,24.0,Maryland,Anne Arundel,24,3,61,Moderate
172,172,2024-09-13,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0,0,0,278,167,223.0,27.0,Maryland,Anne Arundel,24,3,40,Good
173,173,2024-09-15,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0,0,0,294,144,208.0,47.0,Maryland,Anne Arundel,24,3,44,Good
174,174,2024-09-16,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0,0,0,256,167,226.0,51.0,Maryland,Anne Arundel,24,3,38,Good
175,175,2024-09-17,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",5,0,0,256,206,221.0,42.0,Maryland,Anne Arundel,24,3,31,Good
176,176,2024-09-18,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",69,0,0,250,200,237.0,22.0,Maryland,Anne Arundel,24,3,31,Good
177,177,2024-09-19,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0,0,0,306,178,225.0,17.0,Maryland,Anne Arundel,24,3,46,Good
178,178,2024-09-20,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0,0,0,294,161,229.0,22.0,Maryland,Anne Arundel,24,3,54,Moderate
179,179,2024-09-21,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",15,0,0,272,194,209.0,31.0,Maryland,Anne Arundel,24,3,40,Good
180,180,2024-09-22,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",69,0,0,228,178,192.0,27.0,Maryland,Anne Arundel,24,3,35,Good
181,181,2024-09-23,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",28,0,0,200,161,174.0,37.0,Maryland,Anne Arundel,24,3,28,Good
182,182,2024-09-24,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",18,0,0,200,156,188.0,31.0,Maryland,Anne Arundel,24,3,29,Good
183,183,2024-09-25,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",48,0,0,211,172,217.0,17.0,Maryland,Anne Arundel,24,3,21,Good
184,184,2024-09-26,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",114,0,0,256,200,219.0,46.0,Maryland,Anne Arundel,24,3,19,Good
185,185,2024-09-27,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",74,0,0,228,206,221.0,42.0,Maryland,Anne Arundel,24,3,16,Good
186,186,2024-09-28,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",33,0,0,272,189,190.0,42.0,Maryland,Anne Arundel,24,3,21,Good
187,187,2024-09-29,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",8,0,0,194,172,173.0,37.0,Maryland,Anne Arundel,24,3,19,Good
188,188,2024-09-30,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",33,0,0,189,161,168.0,34.0,Maryland,Anne Arundel,24,3,19,Good
189,189,2024-10-01,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",89,0,0,206,156,162.0,17.0,Maryland,Anne Arundel,24,3,22,Good
190,190,2024-10-02,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",3,0,0,178,144,181.0,11.0,Maryland,Anne Arundel,24,3,17,Good
191,191,2024-10-03,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0,0,0,250,144,187.0,11.0,Maryland,Anne Arundel,24,3,29,Good
192,192,2024-10-04,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0,0,0,233,139,191.0,20.0,Maryland,Anne Arundel,24,3,29,Good
193,193,2024-10-05,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0,0,0,244,100,158.0,17.0,Maryland,Anne Arundel,24,3,44,Good
194,194,2024-10-06,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0,0,0,244,83,186.0,29.0,Maryland,Anne Arundel,24,3,46,Good
195,195,2024-10-07,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0,0,0,233,111,146.0,19.0,Maryland,Anne Arundel,24,3,38,Good
196,196,2024-10-08,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0,0,0,200,78,131.0,38.0,Maryland,Anne Arundel,24,3,39,Good
197,197,2024-10-09,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0,0,0,200,61,116.0,23.0,Maryland,Anne Arundel,24,3,43,Good
198,198,2024-10-10,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0,0,0,167,44,104.0,24.0,Maryland,Anne Arundel,24,3,21,Good
199,199,2024-10-11,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0,0,0,194,22,159.0,25.0,Maryland,Anne Arundel,24,3,30,Good
200,200,2024-10-12,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0,0,0,250,94,169.0,29.0,Maryland,Anne Arundel,24,3,50,Good
201,201,2024-10-13,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0,0,0,261,89,170.0,53.0,Maryland,Anne Arundel,24,3,45,Good
202,202,2024-10-14,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0,0,0,194,56,89.0,33.0,Maryland,Anne Arundel,24,3,31,Good
203,203,2024-10-15,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0,0,0,139,33,72.0,35.0,Maryland,Anne Arundel,24,3,28,Good
204,204,2024-10-16,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0,0,0,128,17,78.0,29.0,Maryland,Anne Arundel,24,3,28,Good
205,205,2024-10-17,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0,0,0,150,0,100.0,19.0,Maryland,Anne Arundel,24,3,31,Good
206,206,2024-10-18,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0,0,0,194,28,104.0,10.0,Maryland,Anne Arundel,24,3,32,Good
207,207,2024-10-19,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0,0,0,206,17,112.0,8.0,Maryland,Anne Arundel,24,3,31,Good
208,208,2024-10-20,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0,0,0,233,11,132.0,20.0,Maryland,Anne Arundel,24,3,44,Good
209,209,2024-10-21,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0,0,0,256,33,161.0,12.0,Maryland,Anne Arundel,24,3,61,Moderate
210,210,2024-10-22,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0,0,0,272,72,157.0,13.0,Maryland,Anne Arundel,24,3,51,Moderate
211,211,2024-10-23,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0,0,0,250,56,159.0,35.0,Maryland,Anne Arundel,24,3,49,Good
212,212,2024-10-24,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0,0,0,194,44,106.0,10.0,Maryland,Anne Arundel,24,3,34,Good
213,213,2024-10-25,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0,0,0,189,22,131.0,28.0,Maryland,Anne Arundel,24,3,31,Good
214,214,2024-10-26,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0,0,0,189,50,82.0,13.0,Maryland,Anne Arundel,24,3,37,Good
215,215,2024-10-27,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0,0,0,139,6,66.0,12.0,Maryland,Anne Arundel,24,3,31,Good
216,216,2024-10-28,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0,0,0,156,-5,91.0,11.0,Maryland,Anne Arundel,24,3,33,Good
217,217,2024-10-29,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0,0,0,183,11,140.0,12.0,Maryland,Anne Arundel,24,3,37,Good
218,218,2024-10-30,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0,0,0,256,50,184.0,30.0,Maryland,Anne Arundel,24,3,32,Good
219,219,2024-10-31,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0,0,0,267,100,216.0,50.0,Maryland,Anne Arundel,24,3,36,Good
